Target_index,0,1,2,Variable_index,Variable_name
Ping_index,3001,3002,3003,
Ping_date,2018-12-04,2018-12-04,2018-12-04,
Ping_time,13:40:00,13:40:00,13:40:00,
Ping_milliseconds,299.0,392.0,479.0,
Range,11.9292734851,11.9455929234,12.0084780560,
Depth,11.8112927051,11.8549864581,11.7047447059,
35.000,-64.081842,-60.025642,-48.048046,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
35.244,-64.853474,-61.449592,-48.243186,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
35.488,-64.397015,-63.116434,-47.154329,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
35.732,-63.008027,-65.765566,-45.636094,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
35.977,-61.490922,-71.099110,-44.866755,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
36.221,-60.225646,-78.043258,-44.912250,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
36.465,-59.298715,-71.512232,-45.035602,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
36.709,-58.732615,-68.183969,-45.107172,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
36.953,-58.605616,-67.248681,-45.737876,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
37.197,-58.910275,-67.216190,-47.007944,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
37.441,-59.657093,-66.614357,-48.728426,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
37.686,-60.586191,-64.834388,-51.162073,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
37.930,-61.598263,-62.814153,-53.671692,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
38.174,-62.657594,-61.224281,-56.198676,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
38.418,-63.689892,-60.193991,-59.238191,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
38.662,-64.318753,-59.438209,-61.534182,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
38.906,-64.532590,-58.824196,-61.513500,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
39.150,-64.374591,-58.275345,-59.628655,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
39.395,-63.967299,-57.817730,-57.403443,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
39.639,-63.631496,-57.690613,-55.482337,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
39.883,-63.368024,-57.852891,-53.962001,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
40.127,-63.155909,-58.239458,-52.618292,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
40.371,-62.925783,-58.752187,-51.541241,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
40.615,-62.803581,-59.534943,-51.326498,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
40.859,-62.653651,-60.565572,-50.960359,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
41.104,-62.228011,-61.640611,-50.773079,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
41.348,-61.563911,-62.719306,-50.806916,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
41.592,-60.710740,-63.678696,-50.978386,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
41.836,-59.841485,-64.205475,-51.049789,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
42.080,-59.196064,-63.873052,-51.259283,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
42.324,-58.550961,-62.417378,-51.015791,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
42.568,-58.136515,-60.522156,-50.333439,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
42.813,-58.052528,-58.687254,-49.737793,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
43.057,-58.266912,-57.128541,-49.244336,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
43.301,-58.924395,-56.116739,-49.175579,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
43.545,-59.762192,-55.665021,-49.265341,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
43.789,-60.061299,-55.510059,-49.189614,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
44.033,-59.753573,-55.773666,-48.279116,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
44.277,-59.087262,-56.514135,-47.044094,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
44.521,-58.523641,-57.860770,-45.785526,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
44.766,-58.114014,-59.703425,-44.162694,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
45.010,-57.518154,-61.684794,-41.859932,0,EVD: TS pulse compressed wideband pings T1 (channel 1)
